seed,round_1,round_2,round_3,round_4,round_5,round_6
1,99.3,85.3,69.1,41.2,24.3,15.4
2,94.1,62.5,45.6,20.6,9.6,3.7
3,84.6,51.5,25.0,11.8,7.4,2.9
4,79.4,47.1,15.4,9.6,2.2,0.7
5,65.4,33.8,5.9,4.4,2.2,0.0
6,63.2,30.9,10.3,2.2,1.5,0.7
7,61.8,19.9,7.4,2.2,0.7,0.7
8,50.0,9.6,5.9,3.7,2.2,0.7
9,50.0,5.1,2.9,0.7,0.0,0.0
10,38.2,16.9,5.9,0.7,0.0,0.0
11,36.8,16.2,5.9,2.9,0.0,0.0
12,34.6,14.7,0.7,0.0,0.0,0.0
13,20.6,4.4,0.0,0.0,0.0,0.0
14,15.4,1.5,0.0,0.0,0.0,0.0
15,5.9,0.7,0.0,0.0,0.0,0.0
16,0.7,0.0,0.0,0.0,0.0,0.0