id,name,seed
0,Duke,1,
1,North Dakota State,16
2,VCU,8
3,UCF,9
4,Mississippi State,5
5,Liberty,12
6,Virginia Tech,4
7,Saint Louis,13
8,Maryland,6
9,Belmont,11
10,LSU,3
11,Yale,14
12,Louisville,7
13,Minnesota,10
14,Michigan State,2
15,Bradley,15
16,Gonzaga,1
17,Fairleigh Dickinson,16
18,Syracuse,8
19,Baylor,9
20,Marquette,5
21,Murray State,12
22,Florida State,4
23,Vermont,13
24,Buffalo,6
25,Arizona State,11
26,Texas Tech,3
27,Northern Kentucky,14
28,Nevada,7
29,Florida,10
30,Michigan,2
31,Montana,15
32,Virginia,1
33,Gardner-Webb,16
34,Ole Miss,8
35,Oklahoma,9
36,Wisconsin,5
37,Oregon,12
38,Kansas State,4
39,UC Irvine,13
40,Villanova,6
41,Saint Mary's,11
42,Purdue,3
43,Old Dominion,14
44,Cincinnati,7
45,Iowa,10
46,Tennessee,2
47,Colgate,15
48,North Carolina,1
49,Iona,16
50,Utah State,8
51,Washington,9
52,Auburn,5
53,New Mexico State,12
54,Kansas,4
55,Northeastern,13
56,Iowa State,6
57,Ohio State,11
58,Houston,3
59,Georgia State,14
60,Wofford,7
61,Seton Hall,10
62,Kentucky,2
63,Abilene Christian,15